DAY;PARTICIPANT;PHASE OF THE DAY;ENVIRONMENT;LIGHT;SCENARIO;SKY CONDITION;TIME AND DATE;mEDI;? ALPHA AVG.;? BETA LOW AVG.;? GAMMA AVG.
3;8;13.05;RE;DL;CONT;CIE Standard Clear Sky, Low Turbidity;Day;1375;9,0647;7,4670;9,6142
3;8;13.06;RE;DL;EXP;CIE Standard Clear Sky, Low Turbidity;Day;1598;8,4420;6,4633;7,9756
3;8;13.08;RE;DL;CONT;CIE Standard Clear Sky, Low Turbidity;Day;1598;7,7129;5,7796;7,4786
3;8;13.09;RE;DL;ACT;CIE Standard Clear Sky, Low Turbidity;Day;1609;12,8896;10,0701;11,8589
3;8;13.11;RE;DL+EL;CONT;CIE Standard Clear Sky, Low Turbidity;Day;1784;11,7841;7,3390;9,1297
3;8;13.13;RE;DL+EL;EXP;CIE Standard Clear Sky, Low Turbidity;Day;1802;8,9632;6,9973;9,0336
3;8;13.15;RE;DL+EL;CONT;CIE Standard Clear Sky, Low Turbidity;Day;1795;10,4716;7,9964;9,3408
3;8;13.17;RE;DL+EL;ACT;CIE Standard Clear Sky, Low Turbidity;Day;1813;12,2581;10,8055;12,1443
3;8;13.25;VR;DL;CONT;CLEAR SKY;DAY;833;10,5434;9,4775;12,7199
3;8;13.26;VR;DL;EXP;CLEAR SKY;DAY;846;10,1122;8,9565;12,1409
3;8;13.29;VR;DL;CONT;CLEAR SKY;DAY;885;9,7341;8,3731;11,5968
3;8;13.31;VR;DL;ACT;CLEAR SKY;DAY;870;15,2279;14,8733;18,8455
3;8;13.33;VR;DL+EL;CONT;CLEAR SKY;DAY;1048;12,1061;9,7459;14,0895
3;8;13.34;VR;DL+EL;EXP;CLEAR SKY;DAY;1056;10,1163;9,6138;12,7814
3;8;13.37;VR;DL+EL;CONT;CLEAR SKY;DAY;1039;11,4189;10,4579;13,8392
3;8;13.39;VR;DL+EL;ACT;CLEAR SKY;DAY;1017;17,1193;16,7847;20,2868
3;9;14.20;RE;DL;CONT;White-Blue Sky, Distinct Corona;Day;1879;8,6361;7,6687;7,8130
3;9;14.21;RE;DL;EXP;White-Blue Sky, Distinct Corona;Day;1879;10,6058;10,1607;11,5366
3;9;14.23;RE;DL;CONT;White-Blue Sky, Distinct Corona;Day;1886;9,5726;8,6964;8,2537
3;9;14.24;RE;DL;ACT;White-Blue Sky, Distinct Corona;Day;1923;19,6314;16,1949;14,3319
3;9;14.26;RE;DL+EL;CONT;White-Blue Sky, Distinct Corona;Day;2096;12,8939;10,4757;8,3303
3;9;14.27;RE;DL+EL;EXP;White-Blue Sky, Distinct Corona;Day;2150;10,1019;8,7994;8,6778
3;9;14.29;RE;DL+EL;CONT;White-Blue Sky, Distinct Corona;Day;2173;9,5544;8,8122;8,6291
3;9;14.30;RE;DL+EL;ACT;White-Blue Sky, Distinct Corona;Day;2154;12,3372;10,8285;11,9277
3;9;14.35;VR;DL;CONT;CLEAR SKY;DAY;557;9,3792;9,5245;10,7838
3;9;14.36;VR;DL;EXP;CLEAR SKY;DAY;502;11,1391;11,4078;14,5450
